Year,Timewindow,Connection,n_firms,firm_max,n_size_1,n_size_0,size_qant_2.5,size_quant_25,size_median,size_qant_75,size_quant_97.5,density,n_edges,av_deg,max_deg,clustering,av_assortativity,num_workers,n_inflow,av_inflow,max_inflow,inflow_median,inflow_qant_75,inflow_quant_97.5,n_outflow,av_outflow,max_outflow,outflow_median,outflow_qant_75,outflow_quant_97.5,n_flow,av_flow,max_flow,flow_median,flow_qant_75,flow_quant_97.5,flow>N
1989,5,uncon,29753.0,19346.200000000001,493,951,0.0,1.8999999999999999,5.5,16.0,211.04000000000013,0.00011382593625763837,50380.0,3.3865492555372567,551,0.027751850543413618,0.0070121294345605175,1062167.9433333334,17713.199999999997,0.59534164622054908,409.39999999999998,0.20000000000000001,0.40000000000000002,3.2000000000000002,17713.200000000001,0.59534164622054919,236.80000000000001,0.20000000000000001,0.40000000000000002,3.2000000000000002,17713.200000000001,0.59534164622054919,209.19999999999999,0.10000000000000001,0.29999999999999999,3.2000000000000002,1297
1989,5,con,23841.0,19346.200000000001,323,634,0.0,2.3999999999999999,6.9000000000000004,20.0,266.75,0.0001656633755678349,47079.0,3.949414873537184,551,0.03375560907197058,-0.010027391677738855,1030485.66,16950.200000000004,0.71096849964347153,409.39999999999998,0.20000000000000001,0.40000000000000002,3.7999999999999998,16950.200000000001,0.71096849964347131,236.80000000000001,0.20000000000000001,0.40000000000000002,3.7999999999999998,16950.200000000001,0.71096849964347131,209.19999999999999,0.20000000000000001,0.40000000000000002,4.0999999999999996,1582
1990,1,uncon,10511.0,19983.0,166,206,0.20000000000000001,3.1000000000000001,10.0,36.0,497.25,0.00020208089735360382,11162.0,2.123870231186376,162,0.008519856111439208,0.037603430814816714,808241.59999999998,18583.0,1.7679573779849682,840.0,1.0,1.0,8.0,18583.0,1.7679573779849682,720.0,1.0,1.0,8.0,18583.0,1.7679573779849682,426.0,0.5,1.0,8.5,636
1990,1,con,6308.0,19983.0,73,96,0.29999999999999999,4.9000000000000004,16.0,61.0,819.43499999999938,0.0004442930065626471,8838.0,2.802155992390615,162,0.013958815406997074,-0.023554133648221984,737412.69999999995,15933.0,2.5258402029169309,840.0,1.0,1.0,13.0,15933.0,2.5258402029169309,720.0,1.0,1.0,13.0,15933.0,2.5258402029169309,426.0,0.5,1.5,15.162499999999909,530
1990,2,uncon,14929.0,19529.5,260,395,0.0,2.5,8.0,27.0,381.0,0.00015861070733016593,17674.0,2.367740639024717,232,0.015288038119122348,0.02875115823253634,882286.05000000005,15344.0,1.0277982450264587,475.0,0.5,0.5,5.0,15344.0,1.0277982450264587,371.5,0.5,0.5,5.0,15344.0,1.0277982450264587,241.5,0.25,0.5,5.25,677
1990,2,con,9831.0,19529.5,130,206,0.10000000000000001,3.7000000000000002,11.4,41.0,552.25,0.0003065851548338849,14814.0,3.013732072017089,232,0.022025747236331765,-0.014478324931841365,823430.69999999995,13678.5,1.3913640524870308,475.0,0.5,1.0,7.5,13678.5,1.3913640524870308,371.5,0.5,1.0,8.0,13678.5,1.3913640524870308,241.5,0.5,0.75,8.25,788
1990,3,uncon,18785.0,19194.666666666668,344,601,0.0,2.1000000000000001,6.5500000000000007,22.0,309.66666666666305,0.00013299988800009432,23465.0,2.4982698961937717,302,0.01854955430682774,0.024335018480619083,907996.01666666672,14053.333333333332,0.74811463046757154,331.66666666666669,0.33333333333333331,0.33333333333333331,4.0,14053.333333333332,0.74811463046757154,251.66666666666666,0.33333333333333331,0.33333333333333331,4.0,14053.333333333334,0.74811463046757165,169.33333333333334,0.16666666666666666,0.33333333333333331,4.166666666666667,815
1990,3,con,12834.0,19194.666666666668,186,332,0.0,3.0,9.4000000000000004,32.158333333333331,443.64583333333269,0.00024411846984459296,20103.0,3.1327723235156615,302,0.026415774062679243,-0.011161147523197261,853701.10000000009,12751.333333333334,0.9935587761674719,331.66666666666669,0.33333333333333331,0.66666666666666663,5.666666666666667,12751.333333333334,0.9935587761674719,251.66666666666666,0.33333333333333331,0.66666666666666663,5.666666666666667,12751.333333333334,0.9935587761674719,169.33333333333334,0.33333333333333331,0.5,6.1666666666666679,926
1990,4,uncon,23785.0,18879.25,409,875,0.0,1.8999999999999999,5.7999999999999998,18.0,254.09999999999945,0.00011200234526122956,31680.0,2.663863779693084,358,0.02123875951259681,0.02303415527866803,947680.27499999991,14737.0,0.61959217994534366,263.75,0.25,0.25,3.25,14737.0,0.61959217994534366,203.0,0.25,0.25,3.0999999999994543,14737.0,0.61959217994534366,134.75,0.125,0.375,3.25,1164
1990,4,con,17039.0,18879.25,228,506,0.0,2.6000000000000001,7.9749999999999996,25.0,344.03333333333285,0.00019184977275467442,27848.0,3.268736428194143,358,0.0285030750048192,-0.0057874197127084524,898558.06666666665,13610.25,0.79877046775045479,263.75,0.25,0.5,4.25,13610.25,0.79877046775045479,203.0,0.25,0.5,4.25,13610.25,0.79877046775045479,134.75,0.25,0.5,4.625,1254
